lat,lon,thick,dist,cumdist
7.706526300000000163e+01,2.301143700000000081e+01,8.699000000000000066e-01,1.268891083633547851e+03,1.279867530817310808e+03
7.700545499999999777e+01,2.311875399999999914e+01,3.237999999999999767e-01,7.168989058634101852e+00,1.287036519875944805e+03
7.704737099999999828e+01,2.319859100000000041e+01,8.699000000000000066e-01,5.069078993582494697e+00,1.292105598869527284e+03
7.698748799999999903e+01,2.330489100000000136e+01,8.699000000000000066e-01,7.168634892731572172e+00,1.299274233762258746e+03
7.702934399999999471e+01,2.338522100000000137e+01,8.699000000000000066e-01,5.068884937775518296e+00,1.304343118700034211e+03
7.696938600000000008e+01,2.349050700000000091e+01,8.699000000000000066e-01,7.168368515178032752e+00,1.311511487215212355e+03
7.690939099999999939e+01,2.359482099999999960e+01,1.605000000000000038e-01,7.167620013064232687e+00,1.318679107228276507e+03
7.695114800000000344e+01,2.367560299999999884e+01,8.699000000000000066e-01,5.068046929546610180e+00,1.323747154157823161e+03
7.699288400000000365e+01,2.375690799999999925e+01,8.699000000000000066e-01,5.068611519343635408e+00,1.328815765677166837e+03
7.693277700000000152e+01,2.386017500000000169e+01,8.699000000000000066e-01,7.167993650871836486e+00,1.335983759328038786e+03
7.697445199999999943e+01,2.394196000000000168e+01,8.699000000000000066e-01,5.068409390339613019e+00,1.341052168718378425e+03
7.691427299999999434e+01,2.404422299999999879e+01,8.699000000000000066e-01,7.167685247116818203e+00,1.348219853965495304e+03
7.695588600000000667e+01,2.412648400000000137e+01,8.699000000000000066e-01,5.068139470859861717e+00,1.353287993436355237e+03
7.699747600000000602e+01,2.420927500000000165e+01,1.161699999999999955e+00,5.068588232740633970e+00,1.358356581669095931e+03
7.693718699999999444e+01,2.431047600000000131e+01,8.699000000000000066e-01,7.168047166844514706e+00,1.365524628835940348e+03
7.697871499999999401e+01,2.439373900000000006e+01,8.699000000000000066e-01,5.068371869905255345e+00,1.370593000705845498e+03
7.702021899999999732e+01,2.447754000000000119e+01,1.161699999999999955e+00,5.068799179213347550e+00,1.375661799885058826e+03
7.695982200000000262e+01,2.457766700000000171e+01,8.699000000000000066e-01,7.168301875394603506e+00,1.382830101760453317e+03
7.700126299999999446e+01,2.466193600000000075e+01,8.699000000000000066e-01,5.068535707686394609e+00,1.387898637468139668e+03
7.704268000000000427e+01,2.474674800000000019e+01,1.106600000000000028e+00,5.069012799023332683e+00,1.392967650267162981e+03
7.698217499999999802e+01,2.484578899999999990e+01,9.975000000000000533e-01,7.168659095238127499e+00,1.400136309362401107e+03
7.702352899999999636e+01,2.493106600000000128e+01,1.427599999999999980e+00,5.068814302618857681e+00,1.405205123665019983e+03
7.696295499999999379e+01,2.502909700000000015e+01,1.260999999999999899e+00,7.168410404790352963e+00,1.412373534069810376e+03
7.700424599999999486e+01,2.511483499999999935e+01,1.427599999999999980e+00,5.068648854856711239e+00,1.417442182924667122e+03
