lat,lon,thick,dist,cumdist
7.163945999999999970e+01,-1.567416110000000060e+02,2.053100000000000147e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.163909597916666883e+01,-1.566846419490740914e+02,2.002699999999999925e+00,1.995821670439343665e+00,1.995821670439343665e+00
7.163873195833333796e+01,-1.566276728981481483e+02,1.788200000000000012e+00,1.995859857849629826e+00,3.991681528288973269e+00
7.163836793749999288e+01,-1.565707038472222337e+02,-1.000000000000000000e+00,1.995898049044894984e+00,5.987579577333868031e+00
7.163800391666666201e+01,-1.565137347962962906e+02,1.874000000000000110e+00,1.995936239509391807e+00,7.983515816843260282e+00
7.163763989583333114e+01,-1.564567657453703760e+02,1.807600000000000096e+00,1.995974429243162263e+00,9.979490246086422545e+00
7.163727587500000027e+01,-1.563997966944444613e+02,1.900700000000000056e+00,1.996012615988568717e+00,1.197550286207499148e+01
7.163691185416666940e+01,-1.563428276435185182e+02,1.906500000000000083e+00,1.996050806518690601e+00,1.397155366859368186e+01
7.163654783333333853e+01,-1.562858585925926036e+02,1.906500000000000083e+00,1.996088996318124975e+00,1.596764266491180706e+01
7.163618381249999345e+01,-1.562288895416666605e+02,1.939000000000000057e+00,1.996127187644463730e+00,1.796376985255627190e+01
7.163581979166666258e+01,-1.561719204907407459e+02,1.939000000000000057e+00,1.996165373725100833e+00,1.995993522628137384e+01
7.163545577083333171e+01,-1.561149514398148312e+02,1.911100000000000021e+00,1.996203563590188246e+00,2.195613878987156298e+01
7.163509175000000084e+01,-1.560579823888888882e+02,1.871899999999999897e+00,1.996241752724670526e+00,2.395238054259623439e+01
7.163472772916666997e+01,-1.560010133379629735e+02,1.808999999999999941e+00,1.996279943385965039e+00,2.594866048598219876e+01
7.163436370833333910e+01,-1.559440442870370305e+02,1.876300000000000079e+00,1.996318131059318102e+00,2.794497861704151731e+01
7.163399968749999402e+01,-1.558870752361111158e+02,1.859299999999999953e+00,1.996356315744900911e+00,2.994133493278641822e+01
7.163363566666666316e+01,-1.558301061851852012e+02,1.859299999999999953e+00,1.996394506471873109e+00,3.193772943925829111e+01
7.163327164583333229e+01,-1.557731371342592581e+02,2.109900000000000109e+00,1.996432696468276147e+00,3.393416213572656659e+01
7.163290762500000142e+01,-1.557161680833333435e+02,2.109900000000000109e+00,1.996470885734152434e+00,3.593063302146072147e+01
7.163254360416667055e+01,-1.556591990324074004e+02,1.997500000000000053e+00,1.996509072012426333e+00,3.792714209347315091e+01
7.163217958333333968e+01,-1.556022299814814858e+02,2.149900000000000144e+00,1.996547259817417430e+00,3.992368935329056967e+01
7.163181556249999460e+01,-1.555452609305555711e+02,1.947500000000000009e+00,1.996585446892007454e+00,4.192027480018257535e+01
7.163145154166666373e+01,-1.554882918796296281e+02,-1.000000000000000000e+00,1.996623635493226523e+00,4.391689843567580454e+01
7.163108752083333286e+01,-1.554313228287037134e+02,2.386000000000000121e+00,1.996661825620986264e+00,4.591356026129679435e+01
7.163072350000000199e+01,-1.553743537777777703e+02,2.386000000000000121e+00,1.996700012761396303e+00,4.791026027405818866e+01
7.163035947916667112e+01,-1.553173847268518557e+02,2.421699999999999964e+00,1.996738201428345016e+00,4.990699847548653167e+01
7.162999545833332604e+01,-1.552604156759259411e+02,2.421699999999999964e+00,1.996776387108113893e+00,5.190377486259464490e+01
7.162963143749999517e+01,-1.552034466249999980e+02,2.387000000000000011e+00,1.996814576571191102e+00,5.390058943916583445e+01
7.162926741666666430e+01,-1.551464775740740833e+02,2.459000000000000075e+00,1.996852763047172408e+00,5.589744220221300708e+01
7.162890339583333343e+01,-1.550895085231481403e+02,2.528700000000000170e+00,1.996890951049600904e+00,5.789433315326260754e+01
7.162853937500000256e+01,-1.550325394722222256e+02,2.478000000000000203e+00,1.996929138321746677e+00,5.989126229158435422e+01
7.162817535416667170e+01,-1.549755704212963110e+02,2.507899999999999796e+00,1.996967327120250157e+00,6.188822961870460659e+01
7.162781133333332662e+01,-1.549186013703703679e+02,2.524999999999999911e+00,1.997005512931912197e+00,6.388523513163652012e+01
7.162744731249999575e+01,-1.548616323194444533e+02,2.491699999999999804e+00,1.997043698013416968e+00,6.588227882964993398e+01
7.162708329166666488e+01,-1.548046632685185102e+02,2.368300000000000072e+00,1.997081886877746237e+00,6.787936071652768533e+01
7.162671927083333401e+01,-1.547476942175925956e+02,2.368300000000000072e+00,1.997120077268256244e+00,6.987648079379593469e+01
7.162635525000000314e+01,-1.546907251666666809e+02,2.403300000000000214e+00,1.997158262415708041e+00,7.187363905621164406e+01
7.162599122916667227e+01,-1.546337561157407379e+02,2.403300000000000214e+00,1.997196449089424286e+00,7.387083550530107345e+01
7.162562720833332719e+01,-1.545767870648148232e+02,2.288100000000000023e+00,1.997234635033020345e+00,7.586807014033409757e+01
7.162526318749999632e+01,-1.545198180138888802e+02,2.343199999999999950e+00,1.997272822502791589e+00,7.786534296283689116e+01
7.162489916666666545e+01,-1.544628489629629655e+02,2.288899999999999935e+00,1.997311009242440205e+00,7.986265397207932892e+01
7.162453514583333458e+01,-1.544058799120370509e+02,2.288899999999999935e+00,1.997349195252007492e+00,8.186000316733134241e+01
