lat,lon
7.143500000000000227e+01,2.225400000000000134e+01
7.143699999999999761e+01,2.226599999999999824e+01
7.143800000000000239e+01,2.227199999999999847e+01
7.143999999999999773e+01,2.228399999999999892e+01
7.144100000000000250e+01,2.229100000000000037e+01
7.144199999999999307e+01,2.229799999999999827e+01
7.144299999999999784e+01,2.230499999999999972e+01
7.144400000000000261e+01,2.231200000000000117e+01
7.144599999999999795e+01,2.232700000000000173e+01
7.144700000000000273e+01,2.233399999999999963e+01
7.144799999999999329e+01,2.234100000000000108e+01
7.144899999999999807e+01,2.234799999999999898e+01
7.145099999999999341e+01,2.236299999999999955e+01
7.145199999999999818e+01,2.237000000000000099e+01
7.145300000000000296e+01,2.237699999999999889e+01
7.145499999999999829e+01,2.239199999999999946e+01
7.145600000000000307e+01,2.239900000000000091e+01
7.145699999999999363e+01,2.240599999999999881e+01
7.145799999999999841e+01,2.241400000000000148e+01
7.145900000000000318e+01,2.242099999999999937e+01
7.146099999999999852e+01,2.243599999999999994e+01
7.146200000000000330e+01,2.244300000000000139e+01
7.146299999999999386e+01,2.245100000000000051e+01
7.146399999999999864e+01,2.245799999999999841e+01
7.146599999999999397e+01,2.247299999999999898e+01
7.146800000000000352e+01,2.248799999999999955e+01
7.146899999999999409e+01,2.249500000000000099e+01
7.147199999999999420e+01,2.251599999999999824e+01
7.147299999999999898e+01,2.252299999999999969e+01
7.147499999999999432e+01,2.253699999999999903e+01
7.147599999999999909e+01,2.254299999999999926e+01
7.147700000000000387e+01,2.255000000000000071e+01
7.147799999999999443e+01,2.255699999999999861e+01
7.147899999999999920e+01,2.256299999999999883e+01
7.148099999999999454e+01,2.257700000000000173e+01
7.148199999999999932e+01,2.258299999999999841e+01
7.148300000000000409e+01,2.258999999999999986e+01
7.148399999999999466e+01,2.259700000000000131e+01
7.148499999999999943e+01,2.260399999999999920e+01
7.148600000000000421e+01,2.260999999999999943e+01
7.148699999999999477e+01,2.261700000000000088e+01
7.148799999999999955e+01,2.262300000000000111e+01
7.148999999999999488e+01,2.263700000000000045e+01
7.149099999999999966e+01,2.264399999999999835e+01
7.149299999999999500e+01,2.265700000000000003e+01
7.149500000000000455e+01,2.267000000000000171e+01
7.149599999999999511e+01,2.267699999999999960e+01
7.149800000000000466e+01,2.269000000000000128e+01
7.149899999999999523e+01,2.269699999999999918e+01
7.150100000000000477e+01,2.270700000000000074e+01
7.150199999999999534e+01,2.271199999999999974e+01
7.150400000000000489e+01,2.272100000000000009e+01
7.150499999999999545e+01,2.272500000000000142e+01
7.150600000000000023e+01,2.273000000000000043e+01
7.150700000000000500e+01,2.273499999999999943e+01
7.150900000000000034e+01,2.274399999999999977e+01
7.151000000000000512e+01,2.274899999999999878e+01
7.151300000000000523e+01,2.276200000000000045e+01
7.151399999999999579e+01,2.276699999999999946e+01
7.151699999999999591e+01,2.278000000000000114e+01
7.151800000000000068e+01,2.278399999999999892e+01
7.151900000000000546e+01,2.278900000000000148e+01
7.152200000000000557e+01,2.280199999999999960e+01
7.152299999999999613e+01,2.280699999999999861e+01
7.152400000000000091e+01,2.281099999999999994e+01
7.152599999999999625e+01,2.282000000000000028e+01
7.152700000000000102e+01,2.282499999999999929e+01
7.152800000000000580e+01,2.282900000000000063e+01
7.153000000000000114e+01,2.283800000000000097e+01
7.153100000000000591e+01,2.284299999999999997e+01
7.153400000000000603e+01,2.285600000000000165e+01
7.153600000000000136e+01,2.286499999999999844e+01
7.153700000000000614e+01,2.286899999999999977e+01
7.153799999999999670e+01,2.287399999999999878e+01
7.154000000000000625e+01,2.288299999999999912e+01
7.154099999999999682e+01,2.288800000000000168e+01
7.154200000000000159e+01,2.289199999999999946e+01
7.154300000000000637e+01,2.289600000000000080e+01
7.154399999999999693e+01,2.290099999999999980e+01
7.154600000000000648e+01,2.291000000000000014e+01
7.154699999999999704e+01,2.291400000000000148e+01
7.154900000000000659e+01,2.292299999999999827e+01
7.154999999999999716e+01,2.292800000000000082e+01
7.155200000000000671e+01,2.293700000000000117e+01
7.155400000000000205e+01,2.294600000000000151e+01
7.155500000000000682e+01,2.295100000000000051e+01
7.155700000000000216e+01,2.296000000000000085e+01
7.155800000000000693e+01,2.296499999999999986e+01
7.156000000000000227e+01,2.297400000000000020e+01
7.156199999999999761e+01,2.298300000000000054e+01
7.156300000000000239e+01,2.298799999999999955e+01
7.156399999999999295e+01,2.299200000000000088e+01
7.156600000000000250e+01,2.300100000000000122e+01
7.156699999999999307e+01,2.300600000000000023e+01
7.156999999999999318e+01,2.301899999999999835e+01
7.157099999999999795e+01,2.302400000000000091e+01
7.157299999999999329e+01,2.303300000000000125e+01
7.157399999999999807e+01,2.303699999999999903e+01
7.157500000000000284e+01,2.304200000000000159e+01
7.157800000000000296e+01,2.305499999999999972e+01
7.158100000000000307e+01,2.306800000000000139e+01
7.158199999999999363e+01,2.307300000000000040e+01
7.158400000000000318e+01,2.308200000000000074e+01
7.158599999999999852e+01,2.309100000000000108e+01
7.158700000000000330e+01,2.309600000000000009e+01
7.158899999999999864e+01,2.310500000000000043e+01
7.159000000000000341e+01,2.310999999999999943e+01
7.159199999999999875e+01,2.311899999999999977e+01
7.159300000000000352e+01,2.312399999999999878e+01
7.159499999999999886e+01,2.313299999999999912e+01
7.159600000000000364e+01,2.313800000000000168e+01
7.159799999999999898e+01,2.314699999999999847e+01
7.159900000000000375e+01,2.315200000000000102e+01
7.160099999999999909e+01,2.316100000000000136e+01
7.160200000000000387e+01,2.316600000000000037e+01
7.160399999999999920e+01,2.317599999999999838e+01
7.160599999999999454e+01,2.318499999999999872e+01
7.160699999999999932e+01,2.319000000000000128e+01
7.160999999999999943e+01,2.320299999999999940e+01
7.161100000000000421e+01,2.320799999999999841e+01
7.161199999999999477e+01,2.321199999999999974e+01
7.161400000000000432e+01,2.322100000000000009e+01
7.161700000000000443e+01,2.323400000000000176e+01
7.161899999999999977e+01,2.324299999999999855e+01
7.162000000000000455e+01,2.324699999999999989e+01
7.162099999999999511e+01,2.325199999999999889e+01
7.162199999999999989e+01,2.325600000000000023e+01
7.162300000000000466e+01,2.326099999999999923e+01
7.162399999999999523e+01,2.326599999999999824e+01
7.162500000000000000e+01,2.326999999999999957e+01
7.162900000000000489e+01,2.328800000000000026e+01
7.162999999999999545e+01,2.329200000000000159e+01
7.163100000000000023e+01,2.329700000000000060e+01
7.163200000000000500e+01,2.330099999999999838e+01
7.163299999999999557e+01,2.330600000000000094e+01
7.163700000000000045e+01,2.332400000000000162e+01
7.163800000000000523e+01,2.332900000000000063e+01
7.163899999999999579e+01,2.333299999999999841e+01
7.164000000000000057e+01,2.333800000000000097e+01
7.164199999999999591e+01,2.334700000000000131e+01
7.164300000000000068e+01,2.335200000000000031e+01
7.164400000000000546e+01,2.335699999999999932e+01
7.164700000000000557e+01,2.337099999999999866e+01
7.164799999999999613e+01,2.337600000000000122e+01
7.165000000000000568e+01,2.338500000000000156e+01
7.165099999999999625e+01,2.339000000000000057e+01
7.165200000000000102e+01,2.339499999999999957e+01
7.165399999999999636e+01,2.340500000000000114e+01
